Health State,Power State,Connection State,Name,IP Address,Identifier,Model,Type,Chassis Name,Slot Name,Managed State
Normal,Online,Connected,SBICDCENCL03-CMC1,172.16.40.78,BTNZ992,PowerEdge M1000e,Chassis,,,Managed
Normal,Online,Connected,SBICDCENCL03-SWC2,172.16.40.85,BTNY992,PowerEdge M I/O Aggregator bridge,Network Switch,SBICDCENCL03-CMC1,PowerEdge M I/O Aggregator,Monitored
Normal,Online,Connected,SBICDCENCL03-SWC1,172.16.40.84,BTNX992,PowerEdge M I/O Aggregator bridge,Network Switch,SBICDCENCL03-CMC1,PowerEdge M I/O Aggregator,Monitored
Normal,Offline,Connected,ENCL03-1-SCCPPBLRDBO1038,172.16.40.86,BTJW992,PowerEdge M630,Compute,SBICDCENCL03-CMC1,ENCL03-1-SCCPPBLRDBO1038,Managed
Unknown,Unknown,Disconnected,SBICDCENCL11,172.16.41.26,HFM6BS2,PowerEdge M1000e,Chassis,,,Managed
Normal,Offline,Connected,ENCL11-2-SCCPPBLROVS06,172.16.41.35,HHD79V2,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL11-12-SCCPPBLRESX232,172.16.41.45,3W77BW2,PowerEdge M640,Compute,,,Managed
Normal,Offline,Connected,ENCL03-4-SCCPPBLRAPP355,172.16.40.89,4C3V8T2,PowerEdge M640,Compute,SBICDCENCL03-CMC1,sccppblrapp355,Managed
Normal,Online,Connected,ENCL11-10-SCCPPBLRESX231,172.16.41.43,BVN60T2,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL11-16-SCCPPBLRESX233,172.16.41.49,BVM60T2,PowerEdge M640,Compute,,,Managed
Normal,Offline,Connected,ENCL03-3-SCCPPBLRWEB357,172.16.40.88,8704F13,PowerEdge M640,Compute,SBICDCENCL03-CMC1,sccppblrweb357,Managed
Normal,Offline,Connected,ENCL05-05-SCCPPBLRAPP354,172.16.40.138,4C3W8T2,PowerEdge M640,Compute,SBICDCENCL05-CMC1,sccppblrapp354,Managed
Normal,Offline,Connected,ENCL11-7-SCCPPBLROVS07,172.16.41.40,442Q8T2,PowerEdge M640,Compute,,,Managed
Unknown,Unknown,Disconnected,SBICDCENCL05-CMC1,172.16.40.126,BXK0B92,PowerEdge M1000e,Chassis,,,Managed
Normal,Online,Connected,SBICDCENCL11-SWA2,172.16.41.29,HFN5BS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL11,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL11-SWC1,172.16.41.32,HFM5BS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL11,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL05-SWA2,172.16.40.129,BXHZ992,MXL 10/40GE switch/router,Network Switch,SBICDCENCL05-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL05-SWA1,172.16.40.128,BXJT992,MXL 10/40GE switch/router,Network Switch,SBICDCENCL05-CMC1,MXL 10/40GbE,Monitored
Unknown,Unknown,Disconnected,SBICDCENCL03-SWA1,172.16.40.80,BTPW992,MXL 10/40GE switch/router,Network Switch,SBICDCENCL03-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL11-SWA1,172.16.41.28,HFLCBS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL11,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL11-SWC2,172.16.41.33,HFMDBS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL11,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL05-SWC1,172.16.40.132,BXG0B92,PowerEdge M I/O Aggregator bridge,Network Switch,SBICDCENCL05-CMC1,PowerEdge M I/O Aggregator,Monitored
Normal,Online,Connected,SBICDCENCL03-SWA2,172.16.40.81,BTPV992,MXL 10/40GE switch/router,Network Switch,SBICDCENCL03-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL05-SWC2,172.16.40.133,BXGX992,PowerEdge M I/O Aggregator bridge,Network Switch,SBICDCENCL05-CMC1,PowerEdge M I/O Aggregator,Monitored
Normal,Offline,Connected,ENCL05-02-SCCPPBLRAPP348,172.16.40.135,BXPW992,PowerEdge M630,Compute,SBICDCENCL05-CMC1,sccppblrapp348,Managed
Normal,Offline,Connected,ENCL05-09-SCCPPBLRAPP351,172.16.40.142,BXP1B92,PowerEdge M630,Compute,SBICDCENCL05-CMC1,sccppblrapp351,Managed
Normal,Offline,Connected,ENCL14-16-SCCPPBLRDBO1039,172.16.41.73,BXNV992,PowerEdge M630,Compute,SBICDCENCL14-CMC1,ENCL14-16-SCCPPBLRDBO1039,Managed
Normal,Offline,Connected,ENCL03-9-SCCPPBLRAPP356,172.16.40.94,BTMT992,PowerEdge M630,Compute,SBICDCENCL03-CMC1,sccppblrapp356s,Managed
Normal,Offline,Connected,ENCL05-06-SCCPPBLRAPP070,172.16.40.139,JDZFBS2,PowerEdge M640,Compute,SBICDCENCL05-CMC1,sccppblrapp070,Managed
Normal,Offline,Connected,ENCL05-04-SCCPPBLRAPP062,172.16.40.137,4C5S8T2,PowerEdge M640,Compute,SBICDCENCL05-CMC1,sccppblrapp062,Managed
Normal,Offline,Connected,ENCL03-2-SCCPPBLRAPP030,172.16.40.87,BTJ2B92,PowerEdge M630,Compute,SBICDCENCL03-CMC1,sccppblrapp030p,Managed
Normal,Offline,Connected,ENCL03-6-SCCPPBLRWEB358,172.16.40.91,86Z5F13,PowerEdge M640,Compute,SBICDCENCL03-CMC1,sccppblrweb358,Managed
Normal,Online,Connected,ENCL05-03-SCCPPBLRDBO145,172.16.40.136,JMS2TF2,PowerEdge M640,Compute,SBICDCENCL05-CMC1,sccppblrdbo145,Managed
Normal,Online,Connected,ENCL11-6,172.16.41.39,JMS1TR2,PowerEdge M640,Compute,,,Managed
Normal,Offline,Connected,ENCL03-5-SCCPPBLRDBO379,172.16.40.90,JMS2T92,PowerEdge M640,Compute,SBICDCENCL03-CMC1,sccppblrdbo379,Managed
